Epoch 1: {'loss': 0.018080810084939003, 'accuracy': 0.9331052303314209, 'val_loss': 0.0030506697949022055, 'val_accuracy': 0.9390820264816284}
Epoch 2: {'loss': 0.0029901352245360613, 'accuracy': 0.9383196234703064, 'val_loss': 0.0027410362381488085, 'val_accuracy': 0.9390817880630493}
Epoch 3: {'loss': 0.002943650120869279, 'accuracy': 0.9383201003074646, 'val_loss': 0.002693465445190668, 'val_accuracy': 0.9390818476676941}
Epoch 1: {'loss': 0.015343409031629562, 'accuracy': 0.9343134164810181, 'val_loss': 0.002814773004502058, 'val_accuracy': 0.9390817880630493}
Epoch 1: {'loss': 0.01605893485248089, 'accuracy': 0.9330147504806519, 'val_loss': 0.0030124245677143335, 'val_accuracy': 0.9390820264816284}
Epoch 1: {'loss': 0.014209451153874397, 'accuracy': 0.9383061528205872, 'val_loss': 0.0029466720297932625, 'val_accuracy': 0.9390817880630493}
Epoch 2: {'loss': 0.002955166157335043, 'accuracy': 0.938319981098175, 'val_loss': 0.002717083552852273, 'val_accuracy': 0.9390820860862732}
Epoch 3: {'loss': 0.002852537902072072, 'accuracy': 0.9383194446563721, 'val_loss': 0.002644530264660716, 'val_accuracy': 0.9390820860862732}
Epoch 4: {'loss': 0.0028778098057955503, 'accuracy': 0.9383199214935303, 'val_loss': 0.0027322261594235897, 'val_accuracy': 0.9390817880630493}
Epoch 5: {'loss': 0.0027648652903735638, 'accuracy': 0.938319742679596, 'val_loss': 0.0026071518659591675, 'val_accuracy': 0.9390819668769836}
Epoch 6: {'loss': 0.0027419349644333124, 'accuracy': 0.9383202791213989, 'val_loss': 0.0029094635974615812, 'val_accuracy': 0.9390818476676941}
Epoch 7: {'loss': 0.0027235366869717836, 'accuracy': 0.938319981098175, 'val_loss': 0.00256321020424366, 'val_accuracy': 0.9390820860862732}
Epoch 8: {'loss': 0.002673407783731818, 'accuracy': 0.9383201003074646, 'val_loss': 0.002528442768380046, 'val_accuracy': 0.9390820264816284}
Epoch 9: {'loss': 0.002670804038643837, 'accuracy': 0.9383199214935303, 'val_loss': 0.0027553688269108534, 'val_accuracy': 0.9390817284584045}
Epoch 10: {'loss': 0.002641121856868267, 'accuracy': 0.9383201003074646, 'val_loss': 0.002566817682236433, 'val_accuracy': 0.9390818476676941}
